Data set reference and name,,,,,,Data set description ,,,,,Standards,,,Data sharing,,,,,,,,,Archiving and preservation ,,,,
Work Package,Organisation,Dataset Title,Dataset Identifier,"Status - July 2016 (ongoing, in progress, due date)",New entry to data management plan since M6? Yes/No,Generated or collected,Origin,Scale,Who is this useful for?,Similar existing dataset and possibility for integration? Value of this new dataset?,What standards and methodologies will be utilised for data collection and management?,"Outline the metadata, documentation or other supporting material that should accompany the data for it to be interpreted correctly","Status and location of metadata, documentation or other supporting material","Licensing, data protection, ownership and copyright",Can the data be published under an open licence?,"
If the data cannot be published openly, why?
","How will the data be shared? (including access procedures, dissemination, software/tools needed for enabling reuse ",Which repository will be used for the data? Why this respository?,Is it ready to be published?,Current location of dataset,Dataset Link,Licence,How long should the data be preserved? How will it exceed the length of the project if necessary?,Approx end volume,Who is responsible in your organisation for the data managament and curation?,Quality assurance and back up procedures?,Associated costs and how these will be covered - do you need to purchase storage? How much time will it take for a person to manage the data - how will this be covered?
WP3,JSI,Repository statistics on downloads and views of educational resources,RepositoryStatistics,"Available, regularly updated",No,Collected,videolectures.net,views and comments for each videolecture,"internal analysis, curriculum development, external demand analysis","None. Provides evidence of resource usage and basis for improving curriculum, content and course structure.",CSV is used for Videolectures API,"
Videolectures REST api documentation. An MD Readme file is available for download
","https://github.com/innanoval/edsa-videolectures-statistics-dataset-1/tree/gh-pages/data
","The data is licensed under a Creative Commons CC-BY 4.0 licence
",Yes,N/A,"Available to see at videolectures website; described as part of WP3 deliverables
",videolectures repository.  Proximity to data source.,Yes,JSI server,"
https://github.com/innanoval/edsa-videolectures-statistics-dataset-1/tree/gh-pages/data
",Creative Commons Attribution (CC BY 4.0) https://creativecommons.org/licenses/by/4.0/,the data will be available after the project ends as part of the project's learning materials,< 1GB,JSI lead data management and curation. OU contribute ,videolectures - relying on internal quality assurance & back up procedures,"Approximately 1 day per month during the project’s lifetime
"
WP3,OU,Learning Analytics data generated from the EDSA Online Courses portal,EDSAOnlineCoursesLA,"Ongoing. Generation of data started on 01/02/2016, together with the launch of the first EDSA self-study courses",No,Generated,http://courses.edsa-project.eu,Not yet known,Course producers can get an understanding of how their courses are being used. Learners can monitor their learning progress.,Not many Learning Analytics datasets are publicly available. The OU has recently published a similar dataset: https://analyse.kmi.open.ac.uk/open_dataset,The xAPI specification is used for expressing the data; the open source Learning Locker software is used for storing and visualising the data.,Introduction to the xAPI (or Tin Can API): https://tincanapi.com/overview/. Introduction to Learning Locker: https://learninglocker.net,"https://tincanapi.com/overview/
https://learninglocker.net
https://alexmikro.github.io/learning-analytics-dataset-from-the-edsa-online-courses-portal/ ","
Creative Commons Attribution (CC BY 4.0) https://creativecommons.org/licenses/by/4.0/
",Yes,N/A,"
Via the EDSA website / Github
",We have setup a dedicated EDSA Learning Locker. This was chosen for the reasons outlined in https://learninglocker.net/benefits/,Yes,EDSA Learning Locker,"
https://alexmikro.github.io/learning-analytics-dataset-from-the-edsa-online-courses-portal/
",CC-BY ,At least until the end of project,Not yet known,OU lead data management and curation.,"Relying on the backup procedures of the OU, as the dataset is hosted on an OU server.",Server storage has already been purchased. Effort for analysing the data has been allocated in Task 3.4.
WP3,JSI,Internal logs of elearning systems,InternalLogs,"Available, regularly updated",No,Collected,videolectures.net,"for videolectures: 20.000 videos, 17.431 lectures, 12.998 authors, 952 events, 579 categories",internal demand analysis,"None. Provides evidence of resource usage and basis for improving curriculum, content and course structure.",JSON is used for Videolectures API,Videolectures REST api documentation,N/A,Raw data will be owned by the project and unlicensed. It will not be available for reuse.,No,"
Privacy. Data requires anonymisation and/or aggregation, and at the moment the use case for anonymised data is not clear.
","Available to see at videolectures website; described as part of WP3 deliverables
",videolectures repository.  Proximity to data source.,N/A,JSI server,N/A,N/A,at least until the end of project,N/A,JSI lead data management and curation. OU contribute ,videolectures - relying on internal quality assurance & back up procedures,N/A
WP3,JSI,"Statistics of course registration, participation and completion",StatisticsForCourses,"Available, regularly updated",No,Collected,videolectures.net,"for videolectures - available per videolecture, per viewer",internal demand analysis,"None. Provides basis for improving curriculum, content and course structure.",JSON is used for Videolectures API,Videolectures REST api documentation,N/A,Raw data will be owned by the project and unlicensed. It will not be available for reuse.,No,Privacy. Data that does not contain privacy issues might be publishable,"Available to see at videolectures website; described as part of WP3 deliverables
",videolectures repository.  Proximity to data source.,N/A,JSI server,N/A,N/A,at least until the end of project,< 1GB,JSI lead data management and curation. OU contribute ,videolectures - relying on internal quality assurance & back up procedures,N/A
WP3,JSI,Aggregated statistics of engagement with the developed courses and educational resources,AggregatedStatistics,"Available, regularly updated",Np,Generated,videolectures.net,"for videolectures - available per videolecture, per viewer",internal demand analysis,"None. Provides evidence of adoption and basis for improving curriculum, content and course structure.",JSON is used for Videolectures API,Videolectures REST api documentation,N/A,Raw data will be owned by the project and unlicensed. It will not be available for reuse.,No,Privacy. Data that does not contain privacy issues might be publishable,"Available to see at videolectures website; described as part of WP3 deliverables
",videolectures repository.  Proximity to data source.,N/A,JSI server,N/A,N/A,at least until the end of project,< 1GB,JSI lead data management and curation. OU contribute ,videolectures - relying on internal quality assurance & back up procedures,N/A
WP3,TU/e,Recorded behavior of students following the first session of the process mining MOOC,CourseraMOOCprocmin001,Ongoing,Yes,collected,coursera.org,several large tables,learning analytics within EDSA,every Coursera course has this data recorded,"
Data collection is managed by Coursera
","
There is no external link to the metadata
",N/A,Raw data is owned by TU/e and cannot be shared due to Coursera restrictions of use.,No,"
Restrictions of use from the data provider
",N/A,"
The data is collected by and stored on a Coursera repository.
",No,Coursera,N/A,N/A,N/A,around 1 GB,"Joos Buijs, Tu/e lead data management and curation",relying on coursera,N/A
WP4,SOTON,Web server logs and Google analytics of project website access,WebsiteAnalytics,Ongoing,No,Collected,http://edsa-project.eu,1 website,Internal analysis for dissemination and community analysis. Secondary use for implicit demand analysis.,None.  Provides evidence of engagement and basis for UX improvement.,"Quantitative recording of website traffic via Google Analytics dashboard, analysed using a variety of analytic tools.","Sessions, Page views, Demographics, User Flow, Bounce rate, ",There is no external link to the metadata,Raw data will be owned by the project and unlicensed. It will not be available for reuse.,No,User privacy. The data can be aggregated and published under an open license,Analysed data will be made available throughout deliverable reports in WP4.,Internal institutional Soton/OU repositories,N/A,https://analytics.google.com/,N/A,N/A,at least until the end of project,< 1GB,OU lead data management and curation. Soton contribute ,Backed up remotely,Free storage. 0.5 day per month
WP4,SOTON,Generated social media engagement data,SocialMediaEngagements,Ongoing,No,Collected,Twitter,1 Twitter Account,Internal analysis for community strength and project dissemination. ,"None that relate to EDSA.  Provides evidence for engagement with project, effectiveness of dissemeniation activities.  Provides basis for understanding what content users find most engaging.",Regular access of data from analytics.twitter.com,"Tweets, Impressions, Profile Visits, Followers, Mentions",https://analytics.twitter.com/user/edsa_project/home,Data will be licensed in compliance with each social network's terms and conditions ,No,"Data sharing needs to comply with individual site licenses. However the majority of social networks do not permitted collection, harvesting and republication of data",Dashboard on EDSA website. Deliverable reports in WP4.,Internal institutional Soton repositories,,Data not accessible directly without tools. Required Twitter harvester. ,,,Until the end of the project,< 1GB,Soton lead data management and curation.  ,Backed up remotely,Free storage. 1 day per month
WP5,ideXlab,"List of project exploitation results – collaborations, institutional and geographical beneficiaries,",ProjectExploitation,Ongoing,No,Generated ,Project partners,Variable,Internal analysis for results to be exploited and targets,"None.  Provides data on dissemination activity, network and results.",Report detailing results from interviews and exploitation activities,N/A,N/A,Raw data will be owned by the project and unlicensed. It will not be available for reuse.,No,Confidentiality,Deliverable reports in WP5.,Google docs shared document,N/A,,N/A,N/A,Until the end of the project,< 500MB,ideXlab lead data management curation,Backed up remotely,Free storage. 1 day per month
WP5,ODI,The EDSA Register,EDSARegister,Ongoing,Yes,Generated,Project partners,<500KB,"
Anyone interested in understanding the datasets used within the EDSA project. Internal management tool.
",None,"
Project partners update every three months until the end of the project. ODI responsible for conversion to CSV and publication as open data.
",A README.md file is available detailing the data structure and basic usage.,https://theodi.github.io/european-data-science-academy-register/,"
This dataset is published on Github, under a CC-BY licence.
",Yes,N/A,"
Via Github and via the EDSA website (http://edsa-project.eu/resources/datasets/)
",Google docs shared document and Github,Yes,"
https://theodi.github.io/european-data-science-academy-register/ 
","
https://theodi.github.io/european-data-science-academy-register/ 
",Creative Commons Attribution (CC BY 4.0) https://creativecommons.org/licenses/by/4.0/,"
As long as Github exists as a minimum. Beyond that a value judgement would have to be made.
",< 500MB,"ODI lead data management and curation, other WP1 partners will contribute","
Stored in external repositories - EDSA website and Github
","
Stored in external repositories - EDSA website and Github; approximately 2 days per month effort for maintenance.
"
